,Value
best model,"{'model': 'mlp', 'learning_rate': 0.01, 'dropout': 0.1, 'n_hidden': 2, 'hidden_1': 58, 'hidden_2': 91, 'hidden_3': 83, 'hidden_4': 17, 'hidden_5': 73}"
val mse,101.88229370117188
test mse,794.9899
total time,27.209253549575806
function calls,180
iterations,4
