,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5,lstm_layers
0,lstm,0.1,0.0,2,44,28,29,43,8,3
1,lstm,0.1,0.0,2,44,28,29,43,8,3
2,lstm,0.1,0.1,5,21,41,47,36,38,2
3,lstm,0.1,0.3,1,44,45,6,21,36,2
4,lstm,0.1,0.2,1,3,39,38,43,37,2
5,lstm,0.1,0.2,1,3,10,38,20,37,2
6,lstm,0.1,0.1,5,21,41,47,36,38,2
7,lstm,0.1,0.1,5,21,41,47,36,16,2
8,lstm,0.1,0.3,1,44,45,6,21,36,2
9,lstm,0.1,0.2,1,42,47,8,20,37,2
10,lstm,0.1,0.0,1,21,49,47,36,38,2
11,lstm,0.1,0.1,1,8,41,47,36,38,2
12,lstm,0.1,0.2,1,42,47,8,20,37,2
13,lstm,0.1,0.1,5,21,41,47,36,38,2
14,lstm,0.1,0.0,1,26,41,47,36,37,4
15,lstm,0.1,0.1,1,26,41,47,19,28,2
16,lstm,0.1,0.1,5,44,48,38,21,16,2
17,lstm,0.1,0.3,1,42,4,6,20,30,2
18,lstm,0.1,0.3,1,44,4,6,49,30,2
19,lstm,0.1,0.0,5,22,41,47,37,38,2
20,lstm,0.1,0.1,5,21,41,47,20,38,2
21,lstm,0.1,0.1,5,22,41,47,25,37,2
22,lstm,0.1,0.1,1,14,41,47,19,48,2
23,lstm,0.1,0.1,5,44,49,38,49,16,2
24,lstm,0.1,0.0,5,25,49,46,49,35,2
25,lstm,0.1,0.1,5,42,47,8,36,38,2
26,lstm,0.1,0.1,5,9,48,8,35,38,2
