,Value
best model,"{'model': 'mlp', 'learning_rate': 0.1, 'dropout': 0.0, 'n_hidden': 2, 'hidden_1': 16, 'hidden_2': 5, 'hidden_3': 69, 'hidden_4': 24, 'hidden_5': 29}"
val mse,98.18828582763672
test mse,811.87024
total time,25.18846082687378
function calls,180
iterations,4
