,Value
best model,"{'model': 'lstm', 'learning_rate': 0.1, 'dropout': 0.2, 'n_hidden': 4, 'hidden_1': 58, 'hidden_2': 5, 'hidden_3': 10, 'hidden_4': 97, 'hidden_5': 59}"
val mse,2271.611328125
test mse,8559.875
total time,74.01157927513123
function calls,180
iterations,9
