,Value
best model,"{'model': 'lstm', 'learning_rate': 0.1, 'dropout': 0.8, 'n_hidden': 4, 'hidden_1': 34, 'hidden_2': 59, 'hidden_3': 77, 'hidden_4': 88, 'hidden_5': 12}"
val mse,124.2654037475586
test mse,765.3087
total time,38.0883948802948
function calls,180
iterations,36
