,Value
best model,"{'model': 'lstm', 'learning_rate': 0.1, 'dropout': 0.7, 'n_hidden': 5, 'hidden_1': 66, 'hidden_2': 75, 'hidden_3': 31, 'hidden_4': 91, 'hidden_5': 24}"
val mse,1793.150634765625
test mse,11461.324
total time,93.63800549507141
function calls,180
iterations,18
