,iteration,start_time,end_time,val_mse
0,1,1631644531.2457006,1631644531.6638443,145.4722137451172
1,2,1631644531.665532,1631644532.2605603,138.99839782714844
2,3,1631644532.2624068,1631644532.8509424,133.76785278320312
3,4,1631644532.8527248,1631644533.4397001,161.70547485351562
4,5,1631644533.442315,1631644534.2933464,160.59811401367188
5,6,1631644534.295177,1631644535.3605082,147.61366271972656
6,7,1631644535.3623216,1631644536.0637364,144.8497314453125
7,8,1631644536.0664008,1631644537.4945946,140.2772979736328
8,9,1631644537.4981763,1631644539.0126598,150.54905700683594
9,10,1631644539.0144308,1631644540.33432,147.59774780273438
10,11,1631644540.3384233,1631644541.9607673,130.86111450195312
11,12,1631644541.9625978,1631644543.867652,147.4781494140625
12,13,1631644543.8717742,1631644545.3079686,144.3309326171875
13,14,1631644545.312107,1631644546.3968108,149.68785095214844
14,15,1631644546.4011292,1631644547.9656763,125.81500244140625
15,16,1631644547.970009,1631644550.0679305,133.37850952148438
16,17,1631644550.0721705,1631644552.0829022,126.84719848632812
17,18,1631644552.0873141,1631644554.1582294,132.75758361816406
18,19,1631644554.163085,1631644556.173902,133.40650939941406
19,20,1631644556.1782987,1631644558.2757857,133.84512329101562
20,21,1631644558.2801588,1631644560.3865776,123.76834106445312
21,22,1631644560.3909547,1631644562.4162471,134.16525268554688
22,23,1631644562.4207325,1631644564.4892566,128.0388641357422
23,24,1631644564.493846,1631644566.6364164,129.5294952392578
24,25,1631644566.6408546,1631644568.765033,127.03384399414062
25,26,1631644568.7692766,1631644570.931966,128.41708374023438
26,27,1631644570.9362237,1631644573.1049528,131.91896057128906
27,28,1631644573.1089866,1631644575.2290242,124.8408203125
28,29,1631644575.2333467,1631644577.3272274,134.8033905029297
29,30,1631644577.3315449,1631644579.4643822,136.5357666015625
30,31,1631644579.4686215,1631644581.5938494,132.19956970214844
31,32,1631644581.5983257,1631644583.737556,125.78497314453125
32,33,1631644583.742383,1631644585.8645873,130.96929931640625
33,34,1631644585.8690388,1631644587.991152,128.1781463623047
34,35,1631644587.9956548,1631644590.153508,126.25468444824219
35,36,1631644590.1578543,1631644592.3139303,128.88795471191406
