,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5,lstm_layers
0,lstm,0.1,0.9,4,5,39,38,47,36,1
1,lstm,0.1,0.9,4,14,39,38,47,36,1
2,lstm,0.1,0.9,4,14,39,38,47,36,1
3,lstm,0.1,0.9,4,14,39,38,47,36,1
4,lstm,0.1,0.9,4,14,39,38,47,36,1
5,lstm,0.1,0.9,4,14,39,38,46,36,1
