,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5,lstm_layers
0,lstm,0.1,0.0,2,44,28,29,43,8,3
1,lstm,0.1,0.0,2,44,28,29,43,8,3
2,mlp,0.1,0.1,5,21,41,47,36,38,2
3,lstm,0.1,0.0,2,28,6,10,18,29,4
4,lstm,0.1,0.6,1,46,5,33,47,48,5
5,lstm,0.1,0.6,2,15,38,35,48,48,4
6,lstm,0.1,0.5,1,41,17,41,21,29,2
7,lstm,0.1,0.5,1,28,17,38,19,31,4
8,lstm,0.1,0.0,1,28,6,38,16,31,2
9,lstm,0.1,0.0,1,4,28,33,19,8,5
10,lstm,0.1,0.6,1,46,47,8,47,2,5
11,lstm,0.1,0.5,1,28,17,38,19,31,4
12,lstm,0.1,0.4,1,44,41,29,9,30,3
13,lstm,0.1,0.6,1,46,5,8,48,48,4
14,lstm,0.1,0.0,1,4,28,33,19,8,5
15,lstm,0.1,0.5,1,44,41,40,47,30,3
16,lstm,0.1,0.0,1,4,17,33,19,8,4
17,lstm,0.1,0.5,1,41,17,41,21,29,2
18,lstm,0.1,0.6,1,15,38,41,21,48,2
19,lstm,0.1,0.0,1,15,38,41,7,47,2
20,lstm,0.1,0.6,1,46,17,8,19,31,4
21,lstm,0.1,0.5,1,43,45,33,47,30,3
22,lstm,0.1,0.6,1,15,38,41,7,48,2
23,lstm,0.1,0.0,1,15,47,41,7,2,2
24,lstm,0.1,0.6,1,46,38,8,21,37,2
25,lstm,0.1,0.5,1,28,17,38,19,31,4
26,lstm,0.1,0.5,2,28,5,46,19,48,4
