,Value
best model,"{'model': 'mlp', 'learning_rate': 1e-05, 'dropout': 0.7, 'n_hidden': 4, 'hidden_1': 44, 'hidden_2': 17, 'hidden_3': 34, 'hidden_4': 24, 'hidden_5': 20, 'lstm_layers': 2}"
val mse,2265.4892578125
test mse,8592.677
total time,28.078318119049072
function calls,230
iterations,5
