,pop_size,F,CR,mse
139,10,0.15,0.45,[97.15452576]
140,10,0.15,0.6,[108.74795532]
141,10,0.15,0.75,[102.78581238]
142,10,0.15,0.9,[123.43136597]
143,10,0.15,1.0,[105.0022583]
144,10,0.3,0.0,[127.24490356]
145,10,0.3,0.15,[123.28334808]
146,10,0.3,0.3,[106.73348236]
147,10,0.3,0.45,[114.05188751]
148,10,0.3,0.6,[125.02355194]
149,10,0.3,0.75,[119.13903046]
150,10,0.3,0.9,[121.30591583]
151,10,0.3,1.0,[127.04502106]
152,10,0.45,0.0,[124.64051819]
153,10,0.45,0.15,[124.61524963]
154,10,0.45,0.3,[107.28859711]
155,10,0.45,0.45,[121.68135071]
156,10,0.45,0.6,[117.40988922]
157,10,0.45,0.75,[99.18454742]
158,10,0.45,0.9,[122.14515686]
159,10,0.45,1.0,[112.01324463]
160,10,0.6,0.0,[122.31948853]
161,10,0.6,0.15,[111.9539032]
162,10,0.6,0.3,[103.56248474]
163,10,0.6,0.45,[100.02088165]
164,10,0.6,0.6,[127.23249817]
165,10,0.6,0.75,[99.44613647]
166,10,0.6,0.9,[101.33637238]
167,10,0.6,1.0,[124.17230988]
168,10,0.75,0.0,[122.76072693]
169,10,0.75,0.15,[125.2779007]
170,10,0.75,0.3,[111.27894592]
171,10,0.75,0.45,[124.68927002]
172,10,0.75,0.6,[124.18145752]
173,10,0.75,0.75,[119.0348053]
174,10,0.75,0.9,[129.95895386]
175,10,0.75,1.0,[126.26915741]
176,10,0.9,0.0,[126.27280426]
177,10,0.9,0.15,[112.47315979]
178,10,0.9,0.3,[102.47362518]
179,10,0.9,0.45,[121.30708313]
180,10,0.9,0.6,[126.73860168]
181,10,0.9,0.75,[122.06285858]
182,10,0.9,0.9,[124.63147736]
183,10,0.9,1.0,[123.12776184]
184,10,1.0,0.0,[125.08575439]
185,10,1.0,0.15,[123.09529114]
186,10,1.0,0.3,[127.54170227]
187,10,1.0,0.45,[101.72686768]
188,10,1.0,0.6,[123.81248474]
189,10,1.0,0.75,[125.2559433]
190,10,1.0,0.9,[102.33298492]
191,10,1.0,1.0,[127.25885773]
192,20,0.0,0.0,[107.12539673]
193,20,0.0,0.15,[102.80986786]
194,20,0.0,0.3,[101.06507874]
195,20,0.0,0.45,[103.08828735]
196,20,0.0,0.6,[101.97595978]
197,20,0.0,0.75,[100.49744415]
198,20,0.0,0.9,[100.88896942]
199,20,0.0,1.0,[102.47387695]
200,20,0.15,0.0,[103.18511963]
201,20,0.15,0.15,[106.41294861]
202,20,0.15,0.3,[101.96124268]
203,20,0.15,0.45,[99.72097015]
204,20,0.15,0.6,[100.36182404]
205,20,0.15,0.75,[101.01763153]
206,20,0.15,0.9,[101.47770691]
207,20,0.15,1.0,[99.1723175]
208,20,0.3,0.0,[103.27223969]
209,20,0.3,0.15,[105.48781586]
210,20,0.3,0.3,[107.76389313]
211,20,0.3,0.45,[99.33963013]
212,20,0.3,0.6,[101.22100067]
213,20,0.3,0.75,[99.30358124]
214,20,0.3,0.9,[99.8928833]
215,20,0.3,1.0,[100.2747345]
216,20,0.45,0.0,[108.70886993]
217,20,0.45,0.15,[106.63939667]
218,20,0.45,0.3,[103.41430664]
219,20,0.45,0.45,[100.87586212]
220,20,0.45,0.6,[100.31416321]
221,20,0.45,0.75,[98.95413208]
222,20,0.45,0.9,[99.23379517]
