,pop_size,F,CR,mse
132,10,0.0,0.6,[1794.77099609]
133,10,0.0,0.75,[1773.80126953]
134,10,0.0,0.9,[1791.37231445]
135,10,0.0,1.0,[1736.58813477]
136,10,0.15,0.0,[1791.10253906]
137,10,0.15,0.15,[1777.39196777]
138,10,0.15,0.3,[1778.44030762]
139,10,0.15,0.45,[1792.0201416]
140,10,0.15,0.6,[1796.55603027]
141,10,0.15,0.75,[1795.84960938]
142,10,0.15,0.9,[1793.15063477]
143,10,0.15,1.0,[1793.02368164]
144,10,0.3,0.0,[1792.98278809]
145,10,0.3,0.15,[1718.24951172]
146,10,0.3,0.3,[1796.48120117]
147,10,0.3,0.45,[1790.90063477]
148,10,0.3,0.6,[1797.41223145]
149,10,0.3,0.75,[1787.98266602]
150,10,0.3,0.9,[1794.00305176]
151,10,0.3,1.0,[1793.12683105]
152,10,0.45,0.0,[1796.79309082]
153,10,0.45,0.15,[1794.12548828]
154,10,0.45,0.3,[1797.79284668]
155,10,0.45,0.45,[1785.17590332]
156,10,0.45,0.6,[1792.14660645]
157,10,0.45,0.75,[1795.78015137]
158,10,0.45,0.9,[1794.29675293]
159,10,0.45,1.0,[1794.17175293]
160,10,0.6,0.0,[1791.16186523]
161,10,0.6,0.15,[1794.21606445]
162,10,0.6,0.3,[1788.85925293]
163,10,0.6,0.45,[1793.85107422]
164,10,0.6,0.6,[1796.20837402]
165,10,0.6,0.75,[1793.55126953]
166,10,0.6,0.9,[1769.01940918]
167,10,0.6,1.0,[1796.45715332]
168,10,0.75,0.0,[1794.45019531]
169,10,0.75,0.15,[1791.69494629]
170,10,0.75,0.3,[1780.25878906]
171,10,0.75,0.45,[1797.1015625]
172,10,0.75,0.6,[1794.96728516]
173,10,0.75,0.75,[1795.37475586]
174,10,0.75,0.9,[1793.66821289]
175,10,0.75,1.0,[1795.7532959]
176,10,0.9,0.0,[1794.61413574]
177,10,0.9,0.15,[1791.71520996]
178,10,0.9,0.3,[1789.63085938]
179,10,0.9,0.45,[1794.5390625]
180,10,0.9,0.6,[1795.29016113]
181,10,0.9,0.75,[1794.15039062]
182,10,0.9,0.9,[1792.65942383]
183,10,0.9,1.0,[1791.82543945]
184,10,1.0,0.0,[1794.828125]
185,10,1.0,0.15,[1797.40844727]
186,10,1.0,0.3,[1797.16577148]
187,10,1.0,0.45,[1796.62695312]
188,10,1.0,0.6,[1791.85205078]
189,10,1.0,0.75,[1790.08410645]
190,10,1.0,0.9,[1790.45483398]
191,10,1.0,1.0,[1792.38537598]
192,20,0.0,0.0,[1793.54211426]
193,20,0.0,0.15,[1796.08752441]
194,20,0.0,0.3,[1766.81396484]
195,20,0.0,0.45,[1790.52648926]
196,20,0.0,0.6,[1765.56213379]
197,20,0.0,0.75,[1795.60351562]
198,20,0.0,0.9,[1797.2611084]
199,20,0.0,1.0,[1673.06396484]
200,20,0.15,0.0,[1763.70812988]
201,20,0.15,0.15,[1778.35620117]
202,20,0.15,0.3,[1799.20812988]
203,20,0.15,0.45,[1798.12963867]
204,20,0.15,0.6,[1789.92102051]
205,20,0.15,0.75,[1781.38903809]
206,20,0.15,0.9,[1783.82507324]
207,20,0.15,1.0,[1765.48840332]
208,20,0.3,0.0,[1775.68713379]
209,20,0.3,0.15,[1786.44335938]
210,20,0.3,0.3,[1740.99853516]
211,20,0.3,0.45,[1751.47851562]
212,20,0.3,0.6,[1794.07458496]
213,20,0.3,0.75,[1796.42126465]
214,20,0.3,0.9,[1765.45727539]
215,20,0.3,1.0,[1782.45825195]
216,20,0.45,0.0,[1753.56628418]
217,20,0.45,0.15,[1759.79589844]
218,20,0.45,0.3,[1777.55554199]
219,20,0.45,0.45,[1771.56738281]
220,20,0.45,0.6,[1793.32080078]
221,20,0.45,0.75,[1785.35046387]
222,20,0.45,0.9,[1780.93688965]
223,20,0.45,1.0,[1795.68322754]
224,20,0.6,0.0,[1782.84118652]
225,20,0.6,0.15,[1781.87939453]
226,20,0.6,0.3,[1787.98730469]
227,20,0.6,0.45,[1789.50195312]
228,20,0.6,0.6,[1795.60400391]
229,20,0.6,0.75,[1785.12609863]
230,20,0.6,0.9,[1795.02978516]
231,20,0.6,1.0,[1791.29821777]
232,20,0.75,0.0,[1703.66711426]
233,20,0.75,0.15,[1774.06591797]
234,20,0.75,0.3,[1782.72680664]
235,20,0.75,0.45,[1765.50219727]
236,20,0.75,0.6,[1793.51538086]
237,20,0.75,0.75,[1793.8013916]
238,20,0.75,0.9,[1793.69165039]
