,Value
best model,"{'model': 'mlp', 'learning_rate': 0.01, 'dropout': 0.2, 'n_hidden': 4, 'hidden_1': 37, 'hidden_2': 100, 'hidden_3': 47, 'hidden_4': 79, 'hidden_5': 100}"
val mse,96.57202911376953
test mse,747.4274
total time,22.95379948616028
function calls,241
iterations,5
