,Value
best model,"{'model': 'mlp', 'learning_rate': 0.001, 'dropout': 0.3, 'n_hidden': 1, 'hidden_1': 45, 'hidden_2': 33, 'hidden_3': 83, 'hidden_4': 47, 'hidden_5': 89}"
val mse,1768.0035400390625
test mse,11431.317
total time,549.8861198425293
function calls,225
iterations,25
