,Value
best model,"{'model': 'mlp', 'learning_rate': 1e-05, 'dropout': 0.0, 'n_hidden': 2, 'hidden_1': 38, 'hidden_2': 96, 'hidden_3': 55, 'hidden_4': 79, 'hidden_5': 14}"
val mse,2251.64306640625
test mse,8695.237
total time,55.93021082878113
function calls,180
iterations,36
