,Value
best model,"{'model': 'mlp', 'learning_rate': 0.01, 'dropout': 0.0, 'n_hidden': 5, 'hidden_1': 14, 'hidden_2': 19, 'hidden_3': 41, 'hidden_4': 6, 'hidden_5': 31, 'lstm_layers': 4}"
val mse,96.36051177978516
test mse,739.69525
total time,66.02441763877869
function calls,540
iterations,540
