,Value
best model,"{'model': 'lstm', 'learning_rate': 0.1, 'dropout': 0.8, 'n_hidden': 5, 'hidden_1': 34, 'hidden_2': 71, 'hidden_3': 91, 'hidden_4': 99, 'hidden_5': 12}"
val mse,2269.921142578125
test mse,8557.877
total time,89.4494879245758
function calls,180
iterations,36
