,pop_size,F,CR,mse
132,10,0.0,0.6,[2249.16186523]
133,10,0.0,0.75,[2271.08764648]
134,10,0.0,0.9,[2270.39355469]
135,10,0.0,1.0,[2271.39794922]
136,10,0.15,0.0,[2253.84399414]
137,10,0.15,0.15,[2271.73706055]
138,10,0.15,0.3,[2271.30249023]
139,10,0.15,0.45,[2244.17944336]
140,10,0.15,0.6,[2261.22729492]
141,10,0.15,0.75,[2261.49121094]
142,10,0.15,0.9,[2271.68212891]
143,10,0.15,1.0,[2257.41943359]
144,10,0.3,0.0,[2251.67822266]
145,10,0.3,0.15,[2271.68432617]
146,10,0.3,0.3,[2271.73046875]
147,10,0.3,0.45,[2255.32470703]
148,10,0.3,0.6,[2271.56298828]
149,10,0.3,0.75,[2222.60058594]
150,10,0.3,0.9,[2254.93408203]
151,10,0.3,1.0,[2271.67260742]
152,10,0.45,0.0,[2251.37939453]
153,10,0.45,0.15,[2263.40771484]
154,10,0.45,0.3,[2248.13818359]
155,10,0.45,0.45,[2267.9206543]
156,10,0.45,0.6,[2271.42333984]
157,10,0.45,0.75,[2270.52050781]
158,10,0.45,0.9,[2241.22631836]
159,10,0.45,1.0,[2270.65527344]
160,10,0.6,0.0,[2235.74072266]
161,10,0.6,0.15,[2218.12475586]
162,10,0.6,0.3,[2271.45068359]
163,10,0.6,0.45,[2257.80224609]
164,10,0.6,0.6,[2271.68017578]
165,10,0.6,0.75,[2256.08544922]
166,10,0.6,0.9,[2270.95751953]
167,10,0.6,1.0,[2271.72607422]
168,10,0.75,0.0,[2249.29541016]
169,10,0.75,0.15,[2271.71606445]
170,10,0.75,0.3,[2271.23754883]
171,10,0.75,0.45,[2271.56274414]
172,10,0.75,0.6,[2271.45043945]
173,10,0.75,0.75,[2271.44628906]
174,10,0.75,0.9,[2271.6809082]
175,10,0.75,1.0,[2263.81420898]
176,10,0.9,0.0,[2233.07324219]
177,10,0.9,0.15,[2271.39624023]
178,10,0.9,0.3,[2245.10742188]
179,10,0.9,0.45,[2271.69458008]
180,10,0.9,0.6,[2256.25024414]
181,10,0.9,0.75,[2271.70654297]
182,10,0.9,0.9,[2271.03369141]
183,10,0.9,1.0,[2267.10961914]
184,10,1.0,0.0,[2243.34326172]
185,10,1.0,0.15,[2271.3269043]
186,10,1.0,0.3,[2271.17822266]
187,10,1.0,0.45,[2271.69897461]
188,10,1.0,0.6,[2254.07177734]
189,10,1.0,0.75,[2264.13208008]
190,10,1.0,0.9,[2252.84472656]
191,10,1.0,1.0,[2270.24121094]
192,20,0.0,0.0,[2261.68188477]
193,20,0.0,0.15,[2271.68334961]
194,20,0.0,0.3,[2253.28271484]
195,20,0.0,0.45,[2257.828125]
196,20,0.0,0.6,[2218.18188477]
197,20,0.0,0.75,[2247.78100586]
198,20,0.0,0.9,[2215.97436523]
199,20,0.0,1.0,[2240.25170898]
200,20,0.15,0.0,[2264.95825195]
201,20,0.15,0.15,[2271.70458984]
202,20,0.15,0.3,[2245.9128418]
203,20,0.15,0.45,[2271.67041016]
204,20,0.15,0.6,[2240.69628906]
205,20,0.15,0.75,[2261.31713867]
206,20,0.15,0.9,[2246.80078125]
207,20,0.15,1.0,[2270.85473633]
208,20,0.3,0.0,[2247.11694336]
209,20,0.3,0.15,[2258.83007812]
210,20,0.3,0.3,[2206.60473633]
211,20,0.3,0.45,[2271.37524414]
212,20,0.3,0.6,[2271.58251953]
213,20,0.3,0.75,[2266.87475586]
214,20,0.3,0.9,[2271.55200195]
215,20,0.3,1.0,[2268.93994141]
216,20,0.45,0.0,[2243.69360352]
217,20,0.45,0.15,[2271.51196289]
218,20,0.45,0.3,[2270.45263672]
219,20,0.45,0.45,[2259.46142578]
220,20,0.45,0.6,[2259.37451172]
221,20,0.45,0.75,[2241.66699219]
222,20,0.45,0.9,[2271.72607422]
223,20,0.45,1.0,[2266.4934082]
224,20,0.6,0.0,[2269.42358398]
225,20,0.6,0.15,[2252.08984375]
226,20,0.6,0.3,[2269.50195312]
227,20,0.6,0.45,[2271.71459961]
228,20,0.6,0.6,[2268.00537109]
229,20,0.6,0.75,[2261.25415039]
230,20,0.6,0.9,[2250.50292969]
231,20,0.6,1.0,[2271.63989258]
232,20,0.75,0.0,[2257.01586914]
233,20,0.75,0.15,[2268.23242188]
234,20,0.75,0.3,[2271.76196289]
235,20,0.75,0.45,[2268.9855957]
236,20,0.75,0.6,[2271.80371094]
237,20,0.75,0.75,[2253.46606445]
238,20,0.75,0.9,[2271.71240234]
239,20,0.75,1.0,[2270.28466797]
240,20,0.9,0.0,[2213.43994141]
241,20,0.9,0.15,[2271.71069336]
242,20,0.9,0.3,[2271.81616211]
243,20,0.9,0.45,[2259.38598633]
244,20,0.9,0.6,[2271.74194336]
245,20,0.9,0.75,[2271.7253418]
246,20,0.9,0.9,[2271.65136719]
247,20,0.9,1.0,[2265.57861328]
248,20,1.0,0.0,[2271.61132812]
249,20,1.0,0.15,[2262.31347656]
250,20,1.0,0.3,[2255.6159668]
251,20,1.0,0.45,[2257.90600586]
252,20,1.0,0.6,[2261.83959961]
253,20,1.0,0.75,[2271.74462891]
254,20,1.0,0.9,[2271.74194336]
255,20,1.0,1.0,[2221.07006836]
