,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,lstm,0.0001,0.0,2,18,12,22,37,42
1,lstm,0.0001,0.0,2,18,12,22,37,42
2,mlp,0.001,0.6,2,89,6,69,44,58
3,mlp,0.001,0.6,2,89,6,69,44,58
4,mlp,0.001,0.6,2,89,6,69,44,58
5,lstm,0.0001,0.0,2,18,12,22,37,42
6,lstm,0.001,0.6,2,89,6,69,44,58
7,mlp,0.001,0.6,2,89,6,69,44,58
8,lstm,0.0001,0.0,2,18,6,69,37,58
9,lstm,0.0001,0.0,2,18,12,22,37,42
10,lstm,0.0001,0.0,2,18,12,22,37,42
11,lstm,0.0001,0.0,2,18,12,22,37,42
12,mlp,0.001,0.6,2,89,6,69,44,58
13,mlp,0.001,0.6,2,89,6,69,44,58
14,lstm,0.0001,0.0,2,89,12,69,37,42
15,lstm,0.0001,0.0,2,18,12,22,37,42
16,lstm,0.0001,0.0,2,89,6,69,37,58
17,mlp,0.001,0.6,2,89,6,69,44,58
18,mlp,0.001,0.6,2,89,6,69,44,58
19,lstm,0.0001,0.0,2,18,12,22,37,42
20,lstm,0.0001,0.0,2,18,12,22,37,42
21,lstm,0.0001,0.0,2,89,12,22,44,58
22,lstm,0.0001,0.0,2,18,12,22,37,42
23,lstm,0.001,0.6,2,18,12,22,44,58
24,lstm,0.0001,0.0,2,18,12,22,37,42
25,mlp,0.001,0.6,2,89,6,69,44,58
26,mlp,0.001,0.6,2,89,6,69,44,58
27,lstm,0.0001,0.0,2,18,12,22,37,42
28,mlp,0.001,0.6,2,89,6,69,44,58
29,mlp,0.001,0.6,2,89,6,69,44,58
30,lstm,0.0001,0.0,2,18,12,22,37,42
31,lstm,0.0001,0.0,2,18,12,22,37,42
32,mlp,0.001,0.6,2,89,6,22,44,58
33,lstm,0.0001,0.0,2,18,6,22,37,42
34,lstm,0.0001,0.0,2,18,12,22,37,42
35,mlp,0.0001,0.0,2,18,12,22,37,42
36,lstm,0.0001,0.0,2,18,12,22,37,42
37,lstm,0.0001,0.0,2,18,12,22,37,42
38,lstm,0.0001,0.0,2,18,12,22,37,42
39,lstm,0.0001,0.0,2,18,12,22,37,42
40,lstm,0.0001,0.6,2,18,12,22,37,42
41,mlp,0.001,0.6,2,89,12,69,44,58
42,lstm,0.0001,0.0,2,18,12,22,37,42
43,lstm,0.0001,0.0,2,18,12,22,37,42
44,mlp,0.001,0.6,2,89,6,69,44,58
45,mlp,0.001,0.6,2,89,6,69,44,58
46,lstm,0.0001,0.0,2,18,12,22,37,42
47,lstm,0.0001,0.6,2,18,6,22,37,58
48,mlp,0.001,0.6,2,89,6,69,44,58
49,lstm,0.0001,0.0,2,18,6,22,37,58
50,lstm,0.0001,0.0,2,18,12,22,37,42
51,lstm,0.0001,0.0,2,18,12,22,37,42
52,mlp,0.001,0.6,2,89,6,69,44,58
53,lstm,0.0001,0.0,2,18,12,22,37,42
54,lstm,0.0001,0.0,2,18,12,22,37,42
55,lstm,0.0001,0.0,2,18,12,22,44,42
56,mlp,0.001,0.0,2,89,12,22,44,42
57,mlp,0.001,0.6,2,89,6,69,44,58
58,lstm,0.0001,0.0,2,18,12,22,37,42
59,mlp,0.001,0.6,2,89,6,69,44,58
60,lstm,0.0001,0.0,2,18,12,22,37,42
61,mlp,0.001,0.6,2,18,6,69,44,58
62,lstm,0.0001,0.0,2,18,12,22,37,42
63,mlp,0.001,0.6,2,89,6,69,37,58
64,mlp,0.001,0.6,2,89,6,69,44,58
65,lstm,0.0001,0.0,2,18,12,22,37,42
66,lstm,0.001,0.0,2,18,12,22,37,58
67,lstm,0.0001,0.0,2,18,12,22,37,42
68,lstm,0.0001,0.0,2,18,12,22,37,58
69,mlp,0.001,0.6,2,89,6,69,44,58
70,mlp,0.001,0.6,2,89,6,69,37,58
71,lstm,0.001,0.0,2,89,6,22,37,42
72,mlp,0.001,0.6,2,89,6,69,44,58
73,lstm,0.0001,0.0,2,18,12,22,37,42
74,lstm,0.0001,0.6,2,18,12,22,37,42
75,mlp,0.001,0.6,2,89,6,22,44,58
76,lstm,0.001,0.0,2,18,12,22,37,42
77,mlp,0.001,0.6,2,89,6,69,44,58
78,lstm,0.0001,0.0,2,18,12,22,37,42
79,lstm,0.0001,0.0,2,18,12,22,37,42
80,lstm,0.0001,0.0,2,18,12,22,37,42
81,lstm,0.0001,0.0,2,18,12,22,37,42
82,mlp,0.001,0.6,2,89,6,69,44,58
83,mlp,0.001,0.6,2,89,6,69,44,58
84,lstm,0.0001,0.0,2,18,12,22,37,42
85,lstm,0.0001,0.0,2,18,12,22,37,42
86,lstm,0.0001,0.0,2,18,12,22,37,42
87,lstm,0.0001,0.0,2,18,12,22,37,42
88,lstm,0.0001,0.0,2,18,12,22,37,42
89,mlp,0.001,0.6,2,89,6,69,44,58
