,Value
best model,"{'model': 'mlp', 'learning_rate': 1e-05, 'dropout': 0.9, 'n_hidden': 3, 'hidden_1': 92, 'hidden_2': 66, 'hidden_3': 41, 'hidden_4': 51, 'hidden_5': 62}"
val mse,2252.020263671875
test mse,8809.553
total time,98.18031811714172
function calls,180
iterations,3
