,Value
best model,"{'model': 'mlp', 'learning_rate': 0.001, 'dropout': 0.8, 'n_hidden': 2, 'hidden_1': 89, 'hidden_2': 6, 'hidden_3': 69, 'hidden_4': 44, 'hidden_5': 58}"
val mse,1724.9609375
test mse,11765.449
total time,13.421170949935913
function calls,180
iterations,90
