,Value
best model,"{'model': 'lstm', 'learning_rate': 0.1, 'dropout': 0.0, 'n_hidden': 1, 'hidden_1': 24, 'hidden_2': 13, 'hidden_3': 3, 'hidden_4': 38, 'hidden_5': 21, 'lstm_layers': 4}"
val mse,1781.290283203125
test mse,11502.254
total time,108.02402186393738
function calls,327
iterations,7
