,Value
best model,"{'model': 'lstm', 'learning_rate': 0.01, 'dropout': 0.8, 'n_hidden': 4, 'hidden_1': 35, 'hidden_2': 99, 'hidden_3': 89, 'hidden_4': 71, 'hidden_5': 4}"
val mse,97.35374450683594
test mse,749.04047
total time,1351.0906457901
function calls,225
iterations,45
