,Value
best model,"{'model': 'mlp', 'learning_rate': 1e-05, 'dropout': 0.1, 'n_hidden': 2, 'hidden_1': 59, 'hidden_2': 98, 'hidden_3': 58, 'hidden_4': 5, 'hidden_5': 80}"
val mse,2268.93994140625
test mse,8662.494
total time,156.20661687850952
function calls,180
iterations,9
