,iteration,start_time,end_time,val_mse
0,1,1631644093.8508716,1631644094.264839,141.0421142578125
1,2,1631644094.2663722,1631644094.8337078,145.9505157470703
2,3,1631644094.8355217,1631644095.56332,128.36367797851562
3,4,1631644095.565038,1631644096.493931,148.8057098388672
4,5,1631644096.4957657,1631644097.6929061,139.07394409179688
5,6,1631644097.694722,1631644099.1356294,135.79342651367188
6,7,1631644099.137464,1631644100.3173084,139.79263305664062
7,8,1631644100.3195834,1631644101.614795,144.12124633789062
8,9,1631644101.6166844,1631644102.54087,137.85450744628906
9,10,1631644102.5427272,1631644103.8415496,146.64523315429688
10,11,1631644103.8457615,1631644105.114977,140.78826904296875
11,12,1631644105.1191254,1631644106.4605048,137.98715209960938
12,13,1631644106.4623659,1631644107.8238895,141.4845733642578
13,14,1631644107.8257153,1631644109.1329813,149.13717651367188
14,15,1631644109.134842,1631644110.3185573,131.41632080078125
15,16,1631644110.320333,1631644111.1835794,132.2307586669922
16,17,1631644111.1854262,1631644112.1161635,142.3465576171875
17,18,1631644112.1179805,1631644113.402502,131.6870574951172
18,19,1631644113.405253,1631644114.6866617,129.6160125732422
19,20,1631644114.6893196,1631644116.0562763,138.53646850585938
20,21,1631644116.0590212,1631644117.0681365,123.39701843261719
21,22,1631644117.0708578,1631644117.7984366,130.90142822265625
22,23,1631644117.8010547,1631644118.9164593,129.1383056640625
23,24,1631644118.9192622,1631644119.9414737,126.62712860107422
24,25,1631644119.944213,1631644120.9575286,131.0999755859375
25,26,1631644120.9602287,1631644121.9782896,129.72756958007812
26,27,1631644121.9810925,1631644123.0026484,133.04563903808594
27,28,1631644123.005437,1631644124.0224574,128.96371459960938
28,29,1631644124.0251465,1631644125.0511088,127.72515106201172
29,30,1631644125.0538204,1631644126.2444043,131.0113983154297
30,31,1631644126.2471511,1631644127.2444093,129.3951416015625
31,32,1631644127.2471397,1631644128.2730656,137.17803955078125
32,33,1631644128.2757642,1631644129.626273,129.7535400390625
33,34,1631644129.6290205,1631644130.6588595,124.75318908691406
34,35,1631644130.6621463,1631644131.4687252,131.03741455078125
35,36,1631644131.4714777,1631644132.5041695,131.86558532714844
