,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,mlp,0.001,0.8,5,91,48,56,81,31
1,lstm,0.1,0.3,5,34,78,4,43,55
2,lstm,0.1,0.5,4,58,5,10,49,68
3,mlp,0.0001,0.1,2,90,45,97,19,64
