,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1631656371.482971,1631656371.6403303,1856.7841796875
1,2,1,1631656371.6407502,1631656371.6514757,1945.588134765625
2,3,1,1631656371.6516266,1631656371.968627,1812.6712646484375
3,4,1,1631656371.9694576,1631656372.3114867,1834.91650390625
4,5,1,1631656372.3125079,1631656372.327528,1848.11279296875
5,6,1,1631656372.3276875,1631656372.471381,1851.385986328125
6,7,1,1631656372.4718108,1631656372.9444442,1844.1751708984375
7,8,1,1631656372.945891,1631656373.4498672,1812.872314453125
8,9,1,1631656373.4510727,1631656374.1683438,1853.68701171875
9,10,1,1631656374.1703355,1631656374.1815846,1852.2764892578125
10,11,1,1631656374.1817458,1631656374.571958,1851.3487548828125
11,12,1,1631656374.5729759,1631656374.5898056,2101.13818359375
12,13,1,1631656374.58997,1631656374.599302,2042.058349609375
13,14,1,1631656374.5994506,1631656374.6080437,1954.063720703125
14,15,1,1631656374.60819,1631656374.619383,1879.551513671875
15,16,1,1631656374.6195347,1631656375.4487784,1848.04833984375
16,17,1,1631656375.4506207,1631656376.0711327,1828.6380615234375
17,18,1,1631656376.0724518,1631656376.5379755,1845.2493896484375
18,19,1,1631656376.539298,1631656376.548241,2041.136962890625
19,20,1,1631656376.5483909,1631656376.5610414,1821.030029296875
20,21,2,1631656376.5639746,1631656376.7304678,1848.6358642578125
21,22,2,1631656376.7308843,1631656376.7426076,1872.6163330078125
22,23,2,1631656376.742765,1631656377.009402,1827.206298828125
23,24,2,1631656377.0102217,1631656377.3519654,1831.6141357421875
24,25,2,1631656377.3529923,1631656378.3208592,1850.4559326171875
25,26,2,1631656378.323281,1631656378.4670608,1853.232177734375
26,27,2,1631656378.4675028,1631656378.9393387,1849.092041015625
27,28,2,1631656378.940799,1631656378.956859,2190.171875
28,29,2,1631656378.9570212,1631656379.6723938,1859.66259765625
29,30,2,1631656379.674441,1631656379.6855986,1855.0867919921875
30,31,2,1631656379.6857595,1631656380.0759432,1845.8038330078125
31,32,2,1631656380.0769703,1631656380.0940132,1834.9141845703125
32,33,2,1631656380.0941803,1631656380.1033208,2050.347412109375
33,34,2,1631656380.1034713,1631656380.1120543,2040.2060546875
34,35,2,1631656380.1122022,1631656380.1232865,1814.073974609375
35,36,2,1631656380.1235209,1631656380.7104166,1856.072021484375
36,37,2,1631656380.7121468,1631656381.234943,1835.8311767578125
37,38,2,1631656381.2362292,1631656381.7018058,1835.686279296875
38,39,2,1631656381.703108,1631656381.71198,1843.9248046875
39,40,2,1631656381.7121282,1631656381.7248576,1845.7977294921875
40,41,3,1631656381.728297,1631656381.8946047,1848.536376953125
