,Value
best model,"{'model': 'mlp', 'learning_rate': 0.0001, 'dropout': 0.7, 'n_hidden': 4, 'hidden_1': 90, 'hidden_2': 71, 'hidden_3': 55, 'hidden_4': 81, 'hidden_5': 58}"
val mse,2272.35498046875
test mse,8558.6
total time,1274.8866319656372
function calls,225
iterations,45
