,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5,lstm_layers
0,lstm,0.1,0.9,4,5,39,38,47,36,1
1,lstm,0.1,0.6,5,9,2,5,36,29,2
2,mlp,0.0001,0.2,3,21,23,46,16,16,1
3,lstm,0.1,0.5,2,28,38,11,18,38,2
4,lstm,0.1,0.2,3,26,28,5,43,35,1
5,mlp,0.0001,0.9,3,21,23,46,47,36,1
6,lstm,0.1,0.6,5,20,28,5,36,29,2
7,mlp,0.1,0.6,3,35,47,2,35,39,2
8,mlp,0.1,0.6,3,35,47,39,42,39,2
9,lstm,0.01,0.6,4,39,38,11,18,38,2
10,mlp,0.1,0.6,3,39,47,2,18,39,2
11,mlp,0.1,0.6,3,39,47,2,18,39,2
12,mlp,0.1,0.9,2,21,23,46,47,36,1
13,mlp,0.1,0.6,2,39,2,22,36,39,2
14,mlp,0.1,0.6,3,39,47,22,18,39,2
15,mlp,0.1,0.6,3,44,45,2,18,10,2
16,mlp,0.1,0.1,3,35,41,2,43,10,3
17,mlp,0.1,0.1,3,35,41,2,43,10,3
18,mlp,0.1,0.6,2,20,2,29,36,29,2
19,mlp,0.1,0.9,2,26,38,11,18,7,1
20,mlp,0.1,0.6,3,25,45,10,18,10,2
21,mlp,0.1,0.6,2,26,2,11,36,7,1
