,Value
best model,"{'model': 'mlp', 'learning_rate': 1e-05, 'dropout': 0.1, 'n_hidden': 1, 'hidden_1': 35, 'hidden_2': 7, 'hidden_3': 44, 'hidden_4': 26, 'hidden_5': 22, 'lstm_layers': 2}"
val mse,1753.996826171875
test mse,12688.229
total time,38.95695996284485
function calls,450
iterations,450
