Date,Open,High,Low,Close,Adj Close,Volume
2020-09-09,103.019997,104.879997,102.360001,104.879997,103.124847,43584298
2020-09-10,103.800003,106.300003,102.559998,105.040001,103.282173,29812789
2020-09-11,104.980003,104.980003,102.584000,102.620003,100.902679,21647791
2020-09-14,103.400002,103.900002,102.199997,103.620003,101.885941,17394692
2020-09-15,103.220001,103.580002,102.220001,102.639999,100.922340,28600393
2020-09-16,102.400002,103.400002,100.540001,102.959999,101.236984,27509156
2020-09-17,101.080002,101.320000,99.000000,100.540001,98.857475,46856482
2020-09-18,99.660004,100.199997,97.419998,97.419998,95.789688,73544325
2020-09-21,96.040001,96.669998,88.900002,92.160004,90.617722,78895072
2020-09-22,92.750000,94.110001,91.400002,91.970001,90.430901,40473692
2020-09-23,93.190002,96.199997,92.246002,92.900002,91.345337,40643007
2020-09-24,90.769997,95.050003,90.739998,92.870003,91.315842,43704705
2020-09-25,94.239998,94.629997,91.129997,91.550003,90.017929,33180100
2020-09-28,93.500000,98.440002,92.910004,98.000000,96.359985,48500179
2020-09-29,97.110001,98.279999,96.309998,97.250000,95.622536,38484870
2020-09-30,96.580002,99.540001,95.848999,97.610001,95.976517,41223431
2020-10-01,98.839996,99.910004,96.900002,98.000000,96.359985,39991603
2020-10-02,97.480003,98.300003,96.489998,97.709999,96.074837,35973115
2020-10-05,99.699997,100.680000,98.080002,99.449997,97.785713,80935616
2020-10-06,100.879997,104.180000,99.820000,104.180000,102.436562,61172964
2020-10-07,103.839996,107.459999,103.419998,104.500000,102.751213,72284882
2020-10-08,105.440002,107.778999,104.419998,107.099998,105.307701,36922959
2020-10-09,107.940002,109.000000,106.540001,107.279999,105.484688,50394313
2020-10-12,107.279999,108.000000,105.419998,105.839996,104.068779,29455602
2020-10-13,106.440002,106.440002,101.720001,102.099998,100.391373,55347707
2020-10-14,101.839996,103.680000,100.820000,101.540001,99.840744,32678409
2020-10-15,100.500000,100.769997,97.980003,100.120003,98.444511,36727928
2020-10-16,101.199997,102.639999,99.000000,101.800003,100.096397,37486411
2020-10-19,102.500000,104.080002,101.120003,103.360001,101.630287,22865749
2020-10-20,102.339996,105.199997,102.339996,104.320000,102.574226,28477306
2020-10-21,104.919998,106.000000,102.639999,102.720001,101.000999,37940575
2020-10-22,101.379997,104.919998,100.660004,104.279999,102.534889,31440511
2020-10-23,108.500000,113.300003,106.540001,111.540001,109.673401,97495567
2020-10-26,110.540001,114.379997,106.540001,110.519997,108.670464,52191345
2020-10-27,112.620003,113.000000,106.599998,106.599998,104.816063,52849727
2020-10-28,104.459999,106.580002,101.160004,103.800003,102.062927,62752208
2020-10-29,104.440002,106.800003,102.080002,104.660004,102.908539,44813216
2020-10-30,104.220001,107.699997,104.000000,106.559998,104.776733,37873402
2020-11-02,107.019997,107.139999,104.622002,107.040001,105.248711,44537297
2020-11-03,108.220001,113.760002,108.220001,113.360001,111.462936,57652142
2020-11-04,111.839996,113.040001,108.519997,110.379997,108.532806,49682057
2020-11-05,110.680000,112.252998,106.760002,110.160004,108.316498,53515927
2020-11-06,111.059998,113.400002,110.000000,110.940002,109.083443,68836974
2020-11-09,112.040001,129.619995,111.660004,128.539993,126.388901,138499150
2020-11-10,129.139999,136.000000,127.620003,134.399994,132.150848,144498633
2020-11-11,134.080002,137.119995,131.460007,135.520004,133.252106,92506383
2020-11-12,133.479996,133.960007,129.639999,132.360001,130.144989,68867988
2020-11-13,131.220001,135.699997,129.679993,134.160004,131.914856,45650523
2020-11-16,136.119995,138.880005,135.539993,138.779999,136.457535,71349413
2020-11-17,139.880005,139.880005,134.996002,138.399994,136.083893,79501678
2020-11-18,137.559998,142.179993,135.820007,141.600006,139.230347,52441640
2020-11-19,136.100006,139.899994,136.100006,138.940002,136.614868,37442579
2020-11-20,138.179993,139.600006,137.399994,137.759995,135.454605,30600035
2020-11-23,139.279999,140.860001,138.240005,140.199997,137.853775,63641880
2020-11-24,142.000000,150.259995,141.320007,150.199997,147.686432,78845811
2020-11-25,152.500000,152.500000,141.720001,143.399994,141.000229,72137852
2020-11-26,143.240005,143.619995,137.860001,141.100006,138.738724,34544240
2020-11-27,139.000000,140.720001,137.720001,139.500000,137.165497,77855252
2020-11-30,140.039993,140.039993,134.559998,134.559998,132.308167,66657521
2020-12-01,134.899994,143.479996,133.600006,143.240005,140.842896,51536659
2020-12-02,142.779999,146.940002,141.639999,146.940002,144.480988,46385964
2020-12-03,146.000000,148.559998,144.600006,148.559998,146.073868,42251461
2020-12-04,147.699997,150.199997,147.039993,148.619995,146.132858,92767366
2020-12-07,149.000000,149.220001,143.039993,146.259995,143.812363,201179938
2020-12-08,144.779999,147.259995,143.735992,146.360001,143.910690,37242394
2020-12-09,147.399994,149.500000,145.779999,145.899994,143.458374,31964551
2020-12-10,145.399994,145.800003,137.996002,141.759995,139.387665,143650430
2020-12-11,141.759995,142.960007,134.300003,136.059998,133.783051,82366916
