,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,lstm,0.0001,0.0,2,18,12,22,37,42
1,lstm,0.0001,0.0,2,18,12,22,37,42
2,lstm,0.0001,0.0,2,18,12,22,37,42
3,lstm,0.001,0.0,2,20,12,39,37,42
4,lstm,0.001,0.6,2,24,6,46,37,42
5,lstm,0.0001,0.0,2,24,6,46,37,42
6,lstm,0.0001,0.0,2,20,12,22,37,42
7,lstm,0.0001,0.0,2,24,12,22,37,42
8,lstm,0.0001,0.0,2,18,12,22,37,42
9,lstm,0.0001,0.0,2,23,6,45,37,42
10,lstm,0.0001,0.0,2,24,6,46,37,42
11,lstm,0.0001,0.0,2,15,14,12,37,42
12,lstm,0.0001,0.0,2,21,12,22,37,42
13,lstm,0.0001,0.0,2,24,6,46,37,42
14,lstm,0.0001,0.0,2,19,6,46,37,42
15,lstm,0.0001,0.0,2,24,6,46,37,42
16,lstm,0.0001,0.0,2,17,6,19,37,42
17,lstm,0.0001,0.0,2,24,6,46,37,42
18,lstm,0.0001,0.0,2,24,12,46,37,42
19,lstm,0.0001,0.0,2,24,11,46,37,42
20,lstm,0.0001,0.0,2,22,6,40,37,42
21,lstm,0.0001,0.0,2,19,10,22,37,42
22,lstm,0.0001,0.0,2,24,10,46,37,42
23,lstm,0.0001,0.0,2,18,12,22,37,42
24,lstm,0.0001,0.0,2,18,12,22,37,42
25,lstm,0.0001,0.0,2,18,12,22,37,42
26,lstm,0.0001,0.0,2,18,12,22,37,42
27,lstm,0.0001,0.0,2,24,14,13,37,42
28,lstm,0.0001,0.0,2,18,12,22,37,42
29,lstm,0.0001,0.0,2,15,6,46,37,42
30,lstm,0.0001,0.0,2,15,7,46,37,42
31,lstm,0.0001,0.0,2,18,12,20,37,42
32,lstm,0.0001,0.0,2,15,12,22,37,42
33,lstm,0.0001,0.0,2,15,6,34,37,42
34,lstm,0.0001,0.0,2,15,6,46,37,42
35,lstm,0.0001,0.0,2,18,12,22,37,42
36,lstm,0.0001,0.0,2,15,6,49,37,42
37,lstm,0.0001,0.0,2,15,6,46,37,42
38,lstm,0.0001,0.0,2,15,7,46,37,42
39,lstm,0.0001,0.0,2,18,11,22,37,42
40,lstm,0.0001,0.0,2,16,8,22,37,42
41,lstm,0.0001,0.0,2,15,6,41,37,42
42,lstm,0.0001,0.0,2,15,6,46,37,42
43,lstm,0.0001,0.0,2,18,12,22,37,42
44,lstm,0.0001,0.0,2,18,12,22,37,42
45,lstm,0.0001,0.0,2,14,6,48,37,42
46,lstm,0.0001,0.0,2,18,11,22,37,42
47,lstm,0.0001,0.0,2,14,5,49,37,42
48,lstm,0.0001,0.0,2,15,7,41,37,42
49,lstm,0.0001,0.0,2,15,6,12,37,42
50,lstm,0.0001,0.0,2,15,10,46,37,42
51,lstm,0.0001,0.0,2,18,12,46,37,42
52,lstm,0.0001,0.0,2,14,6,46,37,42
53,lstm,0.0001,0.0,2,15,12,22,37,42
54,lstm,0.0001,0.0,2,18,6,46,37,42
55,lstm,0.0001,0.0,2,18,12,22,37,42
56,lstm,0.0001,0.0,2,15,12,22,37,42
57,lstm,0.0001,0.0,2,15,16,4,37,42
58,lstm,0.0001,0.0,2,15,6,46,37,42
59,lstm,0.0001,0.0,2,15,6,22,37,42
60,lstm,0.0001,0.0,2,15,6,46,37,42
61,lstm,0.0001,0.0,2,15,6,46,37,42
62,lstm,0.0001,0.0,2,15,12,22,37,42
63,lstm,0.0001,0.0,2,15,6,46,37,42
64,lstm,0.0001,0.0,2,15,10,22,37,42
65,lstm,0.0001,0.0,2,15,6,46,37,42
66,lstm,0.0001,0.0,2,15,12,38,37,42
67,lstm,0.0001,0.0,2,15,12,38,37,42
68,lstm,0.0001,0.0,2,15,6,46,37,42
69,lstm,0.0001,0.0,2,15,12,43,37,42
70,lstm,0.0001,0.0,2,15,12,38,37,42
71,lstm,0.0001,0.0,2,15,17,46,37,42
72,lstm,0.0001,0.0,2,15,7,38,37,42
73,lstm,0.0001,0.0,2,15,12,38,37,42
74,lstm,0.0001,0.0,2,15,12,38,37,42
75,lstm,0.0001,0.0,2,15,6,46,37,42
76,lstm,0.0001,0.0,2,15,6,43,37,42
77,lstm,0.0001,0.0,2,15,6,48,37,42
78,lstm,0.0001,0.0,2,15,6,46,37,42
79,lstm,0.0001,0.0,2,15,7,43,37,42
80,lstm,0.0001,0.0,2,15,6,46,37,42
81,lstm,0.0001,0.0,2,15,6,43,37,42
82,lstm,0.0001,0.0,2,15,6,45,37,42
83,lstm,0.0001,0.0,2,15,6,46,37,42
84,lstm,0.0001,0.0,2,15,6,38,37,42
85,lstm,0.0001,0.0,2,15,12,38,37,42
86,lstm,0.0001,0.0,2,15,12,38,37,42
87,lstm,0.0001,0.0,2,15,6,46,37,42
88,lstm,0.0001,0.0,2,15,6,45,37,42
89,lstm,0.0001,0.0,2,15,6,46,37,42
