,Value
best model,"{'model': 'mlp', 'learning_rate': 0.001, 'dropout': 0.6, 'n_hidden': 2, 'hidden_1': 34, 'hidden_2': 13, 'hidden_3': 38, 'hidden_4': 28, 'hidden_5': 50}"
val mse,2271.89697265625
test mse,8554.071
total time,964.403481721878
function calls,225
iterations,25
