,Value
best model,"{'model': 'lstm', 'learning_rate': 0.0001, 'dropout': 0.0, 'n_hidden': 2, 'hidden_1': 18, 'hidden_2': 12, 'hidden_3': 22, 'hidden_4': 37, 'hidden_5': 42}"
val mse,2290.097900390625
test mse,8581.146
total time,45.41183042526245
function calls,180
iterations,90
