,Value
best model,"{'model': 'mlp', 'learning_rate': 1e-05, 'dropout': 0.3, 'n_hidden': 1, 'hidden_1': 94, 'hidden_2': 97, 'hidden_3': 10, 'hidden_4': 74, 'hidden_5': 77}"
val mse,1787.9873046875
test mse,12564.299
total time,52.70559096336365
function calls,180
iterations,9
