,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5,lstm_layers
0,mlp,0.0001,0.7,2,15,45,22,49,34,4
1,mlp,0.0001,0.7,4,15,45,22,18,35,4
2,lstm,0.001,0.5,5,9,2,5,14,31,4
3,lstm,0.01,0.9,3,2,28,41,42,49,5
4,lstm,0.01,0.9,3,2,28,41,42,49,5
5,lstm,0.01,0.5,3,47,28,41,14,35,5
6,lstm,0.01,0.6,3,4,38,5,25,48,4
7,lstm,0.01,0.6,3,14,38,5,13,48,2
8,lstm,0.01,0.9,3,2,28,41,42,49,5
9,lstm,0.01,0.6,3,7,38,46,13,48,2
10,lstm,0.01,0.6,3,7,39,46,42,48,4
11,lstm,0.01,0.1,5,34,32,41,42,35,4
12,lstm,0.01,0.1,5,46,32,34,42,35,4
13,lstm,0.01,0.1,5,34,32,20,42,35,2
14,lstm,0.01,0.7,3,2,28,3,42,49,4
15,lstm,0.01,0.4,5,21,41,33,30,34,4
16,lstm,0.01,0.8,4,3,32,41,31,35,5
17,lstm,0.01,0.6,3,20,31,6,29,7,4
18,lstm,0.01,0.7,3,21,28,3,30,34,4
19,lstm,0.01,0.8,4,2,48,34,39,28,5
20,lstm,0.01,0.7,3,46,32,17,42,35,2
21,lstm,0.01,0.8,4,4,46,34,39,28,3
22,lstm,0.01,0.7,3,46,32,17,42,35,2
23,lstm,0.01,0.8,4,29,28,33,30,29,4
24,lstm,0.01,0.6,3,20,31,41,30,35,4
25,lstm,0.01,0.6,3,2,39,34,33,33,5
26,lstm,0.01,0.6,3,21,39,3,33,34,3
