,Value
best model,"{'model': 'mlp', 'learning_rate': 0.01, 'dropout': 0.2, 'n_hidden': 5, 'hidden_1': 72, 'hidden_2': 49, 'hidden_3': 6, 'hidden_4': 91, 'hidden_5': 32}"
val mse,98.689697265625
test mse,779.97015
total time,148.93365573883057
function calls,440
iterations,22
