,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5,lstm_layers
0,lstm,0.1,0.7,4,46,47,2,13,32,3
1,lstm,0.1,0.9,3,35,47,2,13,2,3
2,lstm,0.1,0.0,4,44,34,29,2,8,1
3,lstm,0.1,0.9,5,41,17,5,42,31,3
4,lstm,0.1,0.4,3,44,13,47,30,29,3
5,lstm,0.1,0.0,4,44,45,6,33,36,3
6,lstm,0.1,0.7,4,14,38,33,33,34,1
7,lstm,0.1,0.9,5,9,2,5,36,16,1
8,lstm,0.1,0.0,4,44,39,38,36,38,1
9,lstm,0.1,0.9,5,9,39,38,36,38,1
10,lstm,0.1,0.6,4,41,41,5,46,28,1
11,lstm,0.1,0.0,4,44,34,5,46,8,1
12,lstm,0.1,0.9,3,14,47,33,33,34,3
13,lstm,0.1,0.0,4,44,34,10,46,30,1
14,lstm,0.1,0.9,3,41,17,5,12,2,3
15,lstm,0.1,0.9,4,4,2,5,36,29,1
16,lstm,0.1,0.9,4,7,47,33,33,34,2
17,lstm,0.1,0.9,4,41,47,33,33,34,3
18,lstm,0.1,0.9,5,9,2,5,36,29,1
19,lstm,0.1,0.9,5,14,47,38,33,38,1
20,lstm,0.1,0.9,5,11,47,47,27,38,1
21,lstm,0.1,0.9,3,26,48,2,13,29,3
