,Value
best model,"{'model': 'lstm', 'learning_rate': 0.1, 'dropout': 0.8, 'n_hidden': 4, 'hidden_1': 88, 'hidden_2': 60, 'hidden_3': 47, 'hidden_4': 89, 'hidden_5': 6}"
val mse,2270.3935546875
test mse,8560.493
total time,176.09149932861328
function calls,180
iterations,18
